"item_id","event_id","product_id","store_id","hide","num_has","num_wants","priority","added_at","descr","buy_request","sku_product_id","num_total","num_user_set"
"989","147","1293","0","0","1","1","1","2015-01-14 15:53:37",,"a:5:{s:7:""product"";s:4:""1293"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","1293","1","0"
"990","147","3915","0","0","1","1","1","2015-01-14 15:56:30",,"a:5:{s:7:""product"";s:4:""3915"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3915","1","1"
"991","167","206","0","0","0","1","0","2015-01-14 16:56:06",,"a:5:{s:7:""product"";s:3:""206"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","206","0","0"
"992","167","939","0","0","1","1","0","2015-01-14 17:02:46",,"a:5:{s:7:""product"";s:3:""939"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","939","1","0"
"994","167","185","0","0","0","1","0","2015-01-14 17:31:16",,"a:5:{s:7:""product"";s:3:""185"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","185","0","0"
"998","145","3854","0","0","0","1","0","2015-01-14 18:43:58",,"a:5:{s:7:""product"";s:4:""3854"";s:8:""form_key"";s:16:""vElxYcopTc5XgaNd"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3854","0","0"
"1001","167","3219","0","0","0","1","0","2015-01-14 21:18:53",,"a:6:{s:7:""product"";s:4:""3219"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:3:""155"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3215","0","0"
"1002","167","2695","0","0","0","1","0","2015-01-14 21:19:37",,"a:6:{s:7:""product"";s:4:""2695"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:3:""413"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2694","0","0"
"1004","167","3760","0","0","2","2","0","2015-01-14 21:21:47",,"a:6:{s:7:""product"";s:4:""3760"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:2:""10"";}s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3758","2","2"
"1005","167","3778","0","0","1","1","0","2015-01-14 21:22:25",,"a:5:{s:7:""product"";s:4:""3778"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3778","1","0"
"1007","167","212","0","0","1","1","0","2015-01-14 21:26:03",,"a:5:{s:7:""product"";s:3:""212"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","212","1","1"
"1009","167","224","0","0","0","1","0","2015-01-14 21:28:23",,"a:5:{s:7:""product"";s:3:""224"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","224","0","0"
"1010","167","1490","0","0","0","1","0","2015-01-14 21:29:16",,"a:6:{s:7:""product"";s:4:""1490"";s:8:""form_key"";s:16:""3GYHqkP4rCT2vPKK"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:1:""9"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","1488","0","0"
"1011","156","3987","0","0","0","4","0","2015-01-14 22:01:53",,"a:5:{s:7:""product"";s:4:""3987"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""4"";s:9:""gift_next"";s:0:"""";}","3987","0","0"
"1012","156","3988","0","0","12","12","1","2015-01-14 22:03:12",,"a:5:{s:7:""product"";s:4:""3988"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3988","12","0"
"1013","158","2322","0","0","0","1","0","2015-01-14 22:56:05",,"a:5:{s:7:""product"";s:4:""2322"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2322","0","0"
"1014","158","2756","0","0","0","1","0","2015-01-14 22:57:55",,"a:6:{s:7:""product"";s:4:""2756"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:2:""11"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","2755","0","0"
"1015","158","769","0","0","1","1","0","2015-01-14 22:58:45",,"a:6:{s:7:""product"";s:3:""769"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:136;s:1:""9"";}s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","194","1","1"
"1016","158","339","0","0","1","2","0","2015-01-14 23:04:16",,"a:6:{s:7:""product"";s:3:""339"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:15:""super_attribute"";a:1:{i:92;s:3:""683"";}s:3:""qty"";s:1:""2"";s:9:""gift_next"";s:0:"""";}","3752","1","1"
"1017","156","3990","0","0","0","12","1","2015-01-14 23:18:11",,"a:5:{s:7:""product"";s:4:""3990"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:2:""12"";s:9:""gift_next"";s:0:"""";}","3990","0","0"
"1018","156","3991","0","0","0","1","0","2015-01-14 23:18:46",,"a:5:{s:7:""product"";s:4:""3991"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3991","0","0"
"1019","156","3992","0","0","8","8","1","2015-01-14 23:19:56",,"a:5:{s:7:""product"";s:4:""3992"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:2:""12"";s:9:""gift_next"";s:0:"""";}","3992","8","6"
"1021","156","3994","0","0","1","1","0","2015-01-14 23:21:14",,"a:5:{s:7:""product"";s:4:""3994"";s:8:""form_key"";s:16:""BVnMB8LKUo2FKdGv"";s:15:""related_product"";s:0:"""";s:3:""qty"";s:1:""1"";s:9:""gift_next"";s:0:"""";}","3994","1","0"
